x,y,layer1,layer2,voltage1,voltage2,current
20.1758,988.444,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,2.67766e-16
20.1758,1016.82,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-2.67766e-16
20.1758,1045.2,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,1.33883e-15
24.1758,863.064,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,8.03298e-16
24.1758,891.444,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,1.78511e-16
24.1758,919.824,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,5.35532e-16
46.1758,988.444,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,1.78511e-16
46.1758,1016.82,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-5.35532e-16
46.1758,1045.2,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,8.92553e-16
47.1758,717.824,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-1.78511e-15
47.1758,748.824,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-9.81808e-16
50.1758,863.064,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,8.92553e-16
50.1758,891.444,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,4.46277e-16
50.1758,919.824,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,8.92553e-16
76.1758,717.824,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-9.81808e-16
76.1758,748.824,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-7.14043e-16
101.931,158.609,TOP_LAYER,BOTTOM_LAYER,11.9995,11.9995,6.90308e-12
107.527,1375.47,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-8.37039e-16
104.176,717.824,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-8.03298e-16
104.176,748.824,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-9.81808e-16
114.176,565.824,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,1.16032e-15
134.176,545.824,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,1.16032e-15
134.176,585.824,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,1.96362e-15
154.176,525.824,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,1.6066e-15
154.176,565.824,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,1.87436e-15
161.176,1255.82,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-2.40989e-15
165.176,1309.82,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-1.16032e-15
174.176,545.824,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,1.87436e-15
174.176,1339.82,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-5.35532e-16
199.176,1326.82,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-7.14043e-16
220.041,631.05,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-2.40159e-14
228.176,1317.82,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-8.92553e-16
228.176,1343.82,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-9.81808e-16
282.176,1376.82,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,2.85617e-15
282.176,1400.82,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,1.42809e-15
307.176,1400.82,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,1.33883e-15
325.176,1377.98,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,6.24787e-16
369.176,604.147,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-1.78511e-16
397.912,894.733,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,4.53868e-16
407.176,1376.82,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-1.6066e-15
407.176,1404.82,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-1.42809e-15
413.942,1136.03,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,3.63094e-16
421.176,1311.75,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,2.40989e-15
