refdes,pin,voltage,current
Conn1,16,11.9997,0.338315
Conn1,4,0.0,-0.338315
L1,2,4.99823,0.685456
IC1,7,-0.00108845,-0.17467099999999997
IC1,12,-0.00108845,-0.17467099999999997
R3,2,11.9971,-0.0001
R5,1,-0.000937323,0.0001
R2,2,4.99806,-4.52854e-05
R6,1,-0.000452384,4.49405e-05
IC3,1,4.99331,-0.000750002
IC3,2,4.99331,-0.000749998
IC3,6,-9.89391e-05,0.0015
IC7,3,4.66026,-0.0700001
IC7,2,0.00139951,0.0700001
U1,3,4.65513,-0.0003
U1,5,-0.000100255,0.0003
R26,2,4.65514,-0.0014104
Q6,2,-9.75256e-05,0.00141096
IC5,38,3.2994,-0.0023976
IC5,29,3.29948,-0.00239983
IC5,27,3.29952,-0.00240083
IC5,17,3.2996,-0.00240309
IC5,5,3.29944,-0.00239867
IC5,39,0.00464466,0.00298681
IC5,28,0.0039668,0.00300511
IC5,18,0.00357657,0.00301564
IC5,6,0.00443547,0.00299245
IC6,42,3.29733,-0.105145
IC6,39,3.29727,-0.105078
IC6,27,3.29108,-0.0982709
IC6,16,3.2895,-0.0965263
IC6,14,3.2892,-0.0962022
IC6,10,3.29154,-0.0987778
IC6,41,0.00380593,0.120581
IC6,40,0.00375259,0.120639
IC6,20,0.00453055,0.119784
IC6,17,0.00517091,0.119079
IC6,11,0.00440893,0.119917
IC10,8,3.30007,-0.002
IC10,4,-0.000116623,0.002
IC4,6,4.99333,-0.0121
IC4,3,-0.000112356,0.0001
IC8,3,4.65511,-0.6001
IC8,1,-9.8244e-05,0.0001
IC9,2,11.9977,-0.0021
R37,1,-0.000117635,0.0001
IC1,9,11.9956,-0.168057
IC1,10,11.9956,-0.168057
IC4,1,3.2998,0.012
IC8,2,3.29982,0.6
IC9,1,3.30011,0.002
M1,3,11.9978,-0.338315
M1,2,11.9978,0.338315
M3,2,4.97732,-0.67181
M3,3,4.97731,0.67181
D3,2,4.97495,-0.67181
R42,2,4.67495,0.67181
