x,y,layer1,layer2,voltage1,voltage2,current
20.1758,988.444,TOP_LAYER,BOTTOM_LAYER,-1.94603e-06,-1.56172e-06,-0.000316378
20.1758,1016.82,TOP_LAYER,BOTTOM_LAYER,-1.5112e-06,-1.56172e-06,4.15859e-05
20.1758,1045.2,TOP_LAYER,BOTTOM_LAYER,-1.16148e-06,-7.13718e-07,-0.000368616
24.1758,863.064,TOP_LAYER,BOTTOM_LAYER,-4.20344e-06,-3.71133e-06,-0.000405119
24.1758,891.444,TOP_LAYER,BOTTOM_LAYER,-3.42484e-06,-3.38372e-06,-3.38491e-05
24.1758,919.824,TOP_LAYER,BOTTOM_LAYER,-3.42484e-06,-3.0146e-06,-0.000337719
46.1758,988.444,TOP_LAYER,BOTTOM_LAYER,-1.84756e-06,-1.3975e-06,-0.000370508
46.1758,1016.82,TOP_LAYER,BOTTOM_LAYER,-1.44687e-06,-1.3975e-06,-4.06438e-05
46.1758,1045.2,TOP_LAYER,BOTTOM_LAYER,-1.23023e-06,-7.11349e-07,-0.000427163
47.1758,717.824,TOP_LAYER,BOTTOM_LAYER,-8.96636e-06,-9.78961e-06,0.000677732
47.1758,748.824,TOP_LAYER,BOTTOM_LAYER,-8.54217e-06,-9.34011e-06,0.000656895
50.1758,863.064,TOP_LAYER,BOTTOM_LAYER,-4.19502e-06,-3.62512e-06,-0.000469159
50.1758,891.444,TOP_LAYER,BOTTOM_LAYER,-3.54368e-06,-3.38423e-06,-0.000131269
50.1758,919.824,TOP_LAYER,BOTTOM_LAYER,-3.54368e-06,-2.9801e-06,-0.000463961
76.1758,717.824,TOP_LAYER,BOTTOM_LAYER,-9.17586e-06,-9.82342e-06,0.000533094
76.1758,748.824,TOP_LAYER,BOTTOM_LAYER,-8.93121e-06,-9.49397e-06,0.000463288
101.931,158.609,TOP_LAYER,BOTTOM_LAYER,12,12,-1.38062e-11
107.527,1375.47,TOP_LAYER,BOTTOM_LAYER,6.76445e-06,6.76445e-06,-1.0899e-17
104.176,717.824,TOP_LAYER,BOTTOM_LAYER,-9.34198e-06,-9.98444e-06,0.000528895
104.176,748.824,TOP_LAYER,BOTTOM_LAYER,-8.93121e-06,-9.61496e-06,0.000562895
114.176,565.824,TOP_LAYER,BOTTOM_LAYER,-1.66866e-05,-1.6211e-05,-0.000391569
134.176,545.824,TOP_LAYER,BOTTOM_LAYER,-1.66866e-05,-1.6211e-05,-0.000391569
134.176,585.824,TOP_LAYER,BOTTOM_LAYER,-1.66866e-05,-1.58339e-05,-0.000701976
141.475,955.824,TOP_LAYER,BOTTOM_LAYER,11.9995,11.9995,-5.84944e-12
154.176,525.824,TOP_LAYER,BOTTOM_LAYER,-2.07576e-05,-1.70206e-05,-0.00307647
154.176,565.824,TOP_LAYER,BOTTOM_LAYER,-1.76044e-05,-1.70206e-05,-0.00048061
161.041,1068.64,TOP_LAYER,BOTTOM_LAYER,11.9995,11.9995,-2.92472e-11
161.176,1255.82,TOP_LAYER,BOTTOM_LAYER,7.80959e-06,6.68666e-06,0.000924431
165.176,1309.82,TOP_LAYER,BOTTOM_LAYER,8.35475e-06,7.71337e-06,0.000528014
174.176,545.824,TOP_LAYER,BOTTOM_LAYER,-1.76044e-05,-1.70206e-05,-0.00048061
174.176,1339.82,TOP_LAYER,BOTTOM_LAYER,8.90464e-06,8.34894e-06,0.00045747
194.96,1193.99,TOP_LAYER,BOTTOM_LAYER,11.9995,11.9995,4.99737e-12
199.176,1326.82,TOP_LAYER,BOTTOM_LAYER,9.03297e-06,8.58492e-06,0.000368848
220.041,631.05,TOP_LAYER,BOTTOM_LAYER,0,2.62475e-05,-0.102
228.176,1317.82,TOP_LAYER,BOTTOM_LAYER,9.58476e-06,8.95837e-06,0.000515659
228.176,1343.82,TOP_LAYER,BOTTOM_LAYER,9.68333e-06,9.0415e-06,0.000528377
282.176,1376.82,TOP_LAYER,BOTTOM_LAYER,1.13352e-05,1.26491e-05,-0.00108169
282.176,1400.82,TOP_LAYER,BOTTOM_LAYER,1.20303e-05,1.26358e-05,-0.000498477
307.176,1400.82,TOP_LAYER,BOTTOM_LAYER,1.26275e-05,1.31142e-05,-0.000400713
323.318,1263.27,TOP_LAYER,BOTTOM_LAYER,11.9995,11.9995,-1.02365e-11
325.176,1377.98,TOP_LAYER,BOTTOM_LAYER,1.2902e-05,1.31091e-05,-0.000170521
355.176,733.824,TOP_LAYER,BOTTOM_LAYER,0.000176691,0.00016781,0.00731132
369.176,604.147,TOP_LAYER,BOTTOM_LAYER,0.000205833,0.000214714,-0.00731132
383.176,930.824,TOP_LAYER,BOTTOM_LAYER,3.29889,3.2989,-0.00720361
391.176,1025.82,TOP_LAYER,BOTTOM_LAYER,3.29893,3.29892,0.00720361
397.912,894.733,TOP_LAYER,BOTTOM_LAYER,2.39807e-05,2.39807e-05,8.51002e-18
407.176,1376.82,TOP_LAYER,BOTTOM_LAYER,1.64315e-05,1.57532e-05,0.000558404
407.176,1404.82,TOP_LAYER,BOTTOM_LAYER,1.60603e-05,1.54977e-05,0.000463159
413.942,1136.03,TOP_LAYER,BOTTOM_LAYER,2.18703e-05,2.19205e-05,-4.2047e-05
