vrefdes,vpin,refdes,pin
VCOMP0,0,R3,2
VCOMP0,1,R5,1
VCOMP1,0,Conn1,16
VCOMP1,1,Conn1,4
VCOMP2,0,R2,2
VCOMP2,1,R6,1
VCOMP3,0,IC3,1
VCOMP3,1,IC3,2
VCOMP3,2,IC3,6
VCOMP4,0,IC7,3
VCOMP4,1,IC7,2
VCOMP5,0,U1,3
VCOMP5,1,U1,5
VCOMP6,0,R26,2
VCOMP6,1,Q6,2
VCOMP7,0,IC5,38
VCOMP7,1,IC5,29
VCOMP7,2,IC5,27
VCOMP7,3,IC5,17
VCOMP7,4,IC5,5
VCOMP7,5,IC5,39
VCOMP7,6,IC5,28
VCOMP7,7,IC5,18
VCOMP7,8,IC5,6
VCOMP8,0,IC6,42
VCOMP8,1,IC6,39
VCOMP8,2,IC6,27
VCOMP8,3,IC6,16
VCOMP8,4,IC6,14
VCOMP8,5,IC6,10
VCOMP8,6,IC6,41
VCOMP8,7,IC6,40
VCOMP8,8,IC6,20
VCOMP8,9,IC6,17
VCOMP8,10,IC6,11
VCOMP9,0,IC10,8
VCOMP9,1,IC10,4
VCOMP10,0,IC4,6
VCOMP10,1,IC4,3
VCOMP11,0,IC8,3
VCOMP11,1,IC8,1
VCOMP12,0,IC9,2
VCOMP12,1,R37,1
VCOMP13,0,L1,2
VCOMP13,1,IC1,7
VCOMP13,2,IC1,12
VCOMP14,0,IC1,9
VCOMP14,1,IC1,10
VCOMP14,2,IC1,7
VCOMP14,3,IC1,12
VCOMP15,0,IC4,6
VCOMP15,1,IC4,1
VCOMP16,0,IC8,3
VCOMP16,1,IC8,2
VCOMP17,0,IC9,2
VCOMP17,1,IC9,1
VCOMP18,0,M1,3
VCOMP18,1,M1,2
VCOMP19,0,M3,2
VCOMP19,1,M3,3
VCOMP20,0,D3,2
VCOMP20,1,R42,2
