refdes,pin,voltage,current,rpin
VCOMP1,VCOMP1-0,11.9997,0.338315,0
VCOMP1,VCOMP1-1,0,-0.338315,0
VCOMP13,VCOMP13-0,4.99823,0.685456,0
VCOMP13,VCOMP13-1,-0.00108845,-0.342728,0
VCOMP13,VCOMP13-2,-0.00108845,-0.342728,0
VCOMP0,VCOMP0-0,11.9971,-0.0001,1000
VCOMP0,VCOMP0-1,-0.000937323,0.0001,1000
VCOMP2,VCOMP2-0,4.99806,-4.52854e-05,55400
VCOMP2,VCOMP2-1,-0.000452384,4.49405e-05,55400
VCOMP3,VCOMP3-0,4.99331,-0.000750002,88.8889
VCOMP3,VCOMP3-1,4.99331,-0.000749998,88.8889
VCOMP3,VCOMP3-2,-9.89391e-05,0.0015,88.8889
VCOMP4,VCOMP4-0,4.66026,-0.0700001,1.42857
VCOMP4,VCOMP4-1,0.00139951,0.0700001,1.42857
VCOMP5,VCOMP5-0,4.65513,-0.0003,333.333
VCOMP5,VCOMP5-1,-0.000100255,0.0003,333.333
VCOMP6,VCOMP6-0,4.65514,-0.0014104,1650
VCOMP6,VCOMP6-1,-9.75256e-05,0.00141096,1650
VCOMP7,VCOMP7-0,3.2994,-0.0023976,37.037
VCOMP7,VCOMP7-1,3.29948,-0.00239983,37.037
VCOMP7,VCOMP7-2,3.29952,-0.00240083,37.037
VCOMP7,VCOMP7-3,3.2996,-0.00240309,37.037
VCOMP7,VCOMP7-4,3.29944,-0.00239867,37.037
VCOMP7,VCOMP7-5,0.00464466,0.00298681,37.037
VCOMP7,VCOMP7-6,0.0039668,0.00300511,37.037
VCOMP7,VCOMP7-7,0.00357657,0.00301564,37.037
VCOMP7,VCOMP7-8,0.00443547,0.00299245,37.037
VCOMP8,VCOMP8-0,3.29733,-0.105145,0.909091
VCOMP8,VCOMP8-1,3.29727,-0.105078,0.909091
VCOMP8,VCOMP8-2,3.29108,-0.0982709,0.909091
VCOMP8,VCOMP8-3,3.2895,-0.0965263,0.909091
VCOMP8,VCOMP8-4,3.2892,-0.0962022,0.909091
VCOMP8,VCOMP8-5,3.29154,-0.0987778,0.909091
VCOMP8,VCOMP8-6,0.00380593,0.120581,0.909091
VCOMP8,VCOMP8-7,0.00375259,0.120639,0.909091
VCOMP8,VCOMP8-8,0.00453055,0.119784,0.909091
VCOMP8,VCOMP8-9,0.00517091,0.119079,0.909091
VCOMP8,VCOMP8-10,0.00440893,0.119917,0.909091
VCOMP9,VCOMP9-0,3.30007,-0.002,50
VCOMP9,VCOMP9-1,-0.000116623,0.002,50
VCOMP10,VCOMP10-0,4.99333,-0.0001,1000
VCOMP10,VCOMP10-1,-0.000112356,0.0001,1000
VCOMP11,VCOMP11-0,4.65511,-0.0001,1000
VCOMP11,VCOMP11-1,-9.8244e-05,0.0001,1000
VCOMP12,VCOMP12-0,11.9977,-0.0001,1000
VCOMP12,VCOMP12-1,-0.000117635,0.0001,1000
VCOMP14,VCOMP14-0,11.9956,-0.168057,0.595035
VCOMP14,VCOMP14-1,11.9956,-0.168057,0.595035
VCOMP14,VCOMP14-2,-0.00108845,0.168057,0.595035
VCOMP14,VCOMP14-3,-0.00108845,0.168057,0.595035
VCOMP15,VCOMP15-0,4.99333,-0.012,0
VCOMP15,VCOMP15-1,3.2998,0.012,0
VCOMP16,VCOMP16-0,4.65511,-0.6,0
VCOMP16,VCOMP16-1,3.29982,0.6,0
VCOMP17,VCOMP17-0,11.9977,-0.002,0
VCOMP17,VCOMP17-1,3.30011,0.002,0
VCOMP18,VCOMP18-0,11.9978,-0.338315,5e-07
VCOMP18,VCOMP18-1,11.9978,0.338315,5e-07
VCOMP19,VCOMP19-0,4.97732,-0.67181,5e-07
VCOMP19,VCOMP19-1,4.97731,0.67181,5e-07
VCOMP20,VCOMP20-0,4.97495,-0.67181,5e-07
VCOMP20,VCOMP20-1,4.67495,0.67181,5e-07
