refdes;pin;voltage;current
Conn1;16;11.9996;0.369847
Conn1;4;0.0;-0.369847
L1;2;5.00072;0.105468
IC1;7;0.000821245;0.1310901
IC1;12;0.000821245;0.1310901
R3;2;11.9968;-0.0001
R5;1;0.000708;0.0001
R2;2;5.00069;-4.5302e-05
R6;1;0.000343608;4.49569e-05
IC3;1;4.99989;-0.000750002
IC3;2;4.99989;-0.000749998
IC3;6;0.000141008;0.0015
IC7;3;4.69542;-0.0700001
IC7;2;0.000212434;0.0700001
U1;3;4.69524;-0.0003
U1;5;0.000139696;0.0003
R26;2;4.69525;-0.00142248
Q6;2;0.000142449;0.00142304
IC5;38;3.29951;-0.0023976
IC5;29;3.29959;-0.00239983
IC5;27;3.29963;-0.00240083
IC5;17;3.29971;-0.00240309
IC5;5;3.29955;-0.00239867
IC5;39;0.000417493;0.00299895
IC5;28;0.00034905;0.0030008
IC5;18;0.000347428;0.00300084
IC5;6;0.000399977;0.00299942
IC6;42;2.99518;-0.00333922
IC6;39;2.99518;-0.00333917
IC6;27;2.99497;-0.00333137
IC6;16;2.99491;-0.00332934
IC6;14;2.9949;-0.00332897
IC6;10;2.99498;-0.00333196
IC6;41;0.000330009;0.00400105
IC6;40;0.000327862;0.00400113
IC6;20;0.000368404;0.00399965
IC6;17;0.000398962;0.00399852
IC6;11;0.000367873;0.00399966
IC10;8;3.29747;-0.002
IC10;4;0.000124247;0.002
IC4;6;4.99991;-0.0121
IC4;3;0.000127547;0.0001
IC8;3;4.69526;-0.0201
IC8;1;0.000141723;0.0001
IC9;2;11.9975;-0.0021
R37;1;0.000123235;0.0001
IC1;9;11.9952;-0.183824
IC1;10;11.9952;-0.183824
IC4;1;3.29991;0.012
IC8;2;2.99526;0.02
IC9;1;3.29751;0.002
M1;3;11.9976;-0.369847
M1;2;11.9976;0.369847
M3;2;4.99777;-0.0918225
M3;3;4.99777;0.0918225
D3;2;4.99745;-0.0918225
R42;2;4.69745;0.0918225
