x;y;layer1;layer2;voltage1;voltage2;current
20.1758;988.444;TOP_LAYER;BOTTOM_LAYER;-0.000105531;-0.000105229;-0.000248082
20.1758;1016.82;TOP_LAYER;BOTTOM_LAYER;-0.00010508;-0.000105229;0.000122777
20.1758;1045.2;TOP_LAYER;BOTTOM_LAYER;-0.000104788;-0.000104536;-0.00020685
24.1758;863.064;TOP_LAYER;BOTTOM_LAYER;-0.000107817;-0.000107331;-0.000400315
24.1758;891.444;TOP_LAYER;BOTTOM_LAYER;-0.00010704;-0.000107007;-2.76285e-05
24.1758;919.824;TOP_LAYER;BOTTOM_LAYER;-0.00010704;-0.000106647;-0.000324104
46.1758;988.444;TOP_LAYER;BOTTOM_LAYER;-0.000105387;-0.000105085;-0.000248656
46.1758;1016.82;TOP_LAYER;BOTTOM_LAYER;-0.000104934;-0.000105085;0.000123905
46.1758;1045.2;TOP_LAYER;BOTTOM_LAYER;-0.000104763;-0.000104534;-0.000188279
47.1758;717.824;TOP_LAYER;BOTTOM_LAYER;-0.000112561;-0.000113376;0.000671032
47.1758;748.824;TOP_LAYER;BOTTOM_LAYER;-0.000112139;-0.000112933;0.000653688
50.1758;863.064;TOP_LAYER;BOTTOM_LAYER;-0.000107808;-0.000107246;-0.000462443
50.1758;891.444;TOP_LAYER;BOTTOM_LAYER;-0.000107156;-0.000107008;-0.00012199
50.1758;919.824;TOP_LAYER;BOTTOM_LAYER;-0.000107156;-0.000106615;-0.000445662
76.1758;717.824;TOP_LAYER;BOTTOM_LAYER;-0.000112771;-0.000113415;0.000529956
76.1758;748.824;TOP_LAYER;BOTTOM_LAYER;-0.000112528;-0.000113088;0.000461223
101.931;158.609;TOP_LAYER;BOTTOM_LAYER;11.9996;11.9996;2.76123e-11
107.527;1375.47;TOP_LAYER;BOTTOM_LAYER;-9.90767e-05;-9.90767e-05;1.39507e-16
104.176;717.824;TOP_LAYER;BOTTOM_LAYER;-0.00011294;-0.000113585;0.00053122
104.176;748.824;TOP_LAYER;BOTTOM_LAYER;-0.000112528;-0.000113213;0.000563866
