vrefdes,vpin,refdes,pin
VCOMP0,0,R3,2
VCOMP0,1,R5,1
VCOMP1,0,Conn1,16
VCOMP1,1,Conn1,4
VCOMP2,0,R2,2
VCOMP2,1,R6,1
VCOMP3,0,IC3,1
VCOMP3,1,IC3,2
VCOMP3,2,IC3,6
VCOMP4,0,IC5,38
VCOMP4,1,IC5,29
VCOMP4,2,IC5,27
VCOMP4,3,IC5,17
VCOMP4,4,IC5,5
VCOMP4,5,IC5,39
VCOMP4,6,IC5,28
VCOMP4,7,IC5,18
VCOMP4,8,IC5,6
VCOMP5,0,IC4,6
VCOMP5,1,IC4,3
VCOMP6,0,L1,2
VCOMP6,1,IC1,7
VCOMP6,2,IC1,12
VCOMP7,0,IC1,9
VCOMP7,1,IC1,10
VCOMP7,2,IC1,7
VCOMP7,3,IC1,12
VCOMP8,0,IC4,6
VCOMP8,1,IC4,1
VCOMP9,0,M1,3
VCOMP9,1,M1,2
VCOMP10,0,M3,2
VCOMP10,1,M3,3
VCOMP11,0,D3,2
VCOMP11,1,R42,2
