refdes,pin,voltage,current,rpin
VCOMP1,VCOMP1-0,11.9996,0.369847,0
VCOMP1,VCOMP1-1,0,-0.369847,0
VCOMP13,VCOMP13-0,4.99832,0.685456,0
VCOMP13,VCOMP13-1,-0.000989978,-0.342728,0
VCOMP13,VCOMP13-2,-0.000989978,-0.342728,0
VCOMP0,VCOMP0-0,11.9968,-0.0001,1000
VCOMP0,VCOMP0-1,-0.000852484,0.0001,1000
VCOMP2,VCOMP2-0,4.99816,-4.52859e-05,55400
VCOMP2,VCOMP2-1,-0.000411339,4.4941e-05,55400
VCOMP3,VCOMP3-0,4.99341,-0.000750002,88.8889
VCOMP3,VCOMP3-1,4.99341,-0.000749998,88.8889
VCOMP3,VCOMP3-2,-8.65724e-05,0.0015,88.8889
VCOMP4,VCOMP4-0,4.66036,-0.0700001,1.42857
VCOMP4,VCOMP4-1,0.00139951,0.0700001,1.42857
VCOMP5,VCOMP5-0,4.65523,-0.0003,333.333
VCOMP5,VCOMP5-1,-8.78884e-05,0.0003,333.333
VCOMP6,VCOMP6-0,4.65524,-0.00141043,1650
VCOMP6,VCOMP6-1,-8.51589e-05,0.00141098,1650
VCOMP7,VCOMP7-0,3.29303,-0.0023976,37.037
VCOMP7,VCOMP7-1,3.29311,-0.00239983,37.037
VCOMP7,VCOMP7-2,3.29315,-0.00240083,37.037
VCOMP7,VCOMP7-3,3.29323,-0.00240309,37.037
VCOMP7,VCOMP7-4,3.29307,-0.00239867,37.037
VCOMP7,VCOMP7-5,0.00464466,0.00298681,37.037
VCOMP7,VCOMP7-6,0.0039668,0.00300511,37.037
VCOMP7,VCOMP7-7,0.00357657,0.00301564,37.037
VCOMP7,VCOMP7-8,0.00443547,0.00299245,37.037
VCOMP8,VCOMP8-0,2.95273,-0.105145,0.909091
VCOMP8,VCOMP8-1,2.95267,-0.105078,0.909091
VCOMP8,VCOMP8-2,2.94648,-0.0982709,0.909091
VCOMP8,VCOMP8-3,2.94489,-0.0965263,0.909091
VCOMP8,VCOMP8-4,2.9446,-0.0962022,0.909091
VCOMP8,VCOMP8-5,2.94694,-0.0987778,0.909091
VCOMP8,VCOMP8-6,0.00380593,0.120581,0.909091
VCOMP8,VCOMP8-7,0.00375259,0.120639,0.909091
VCOMP8,VCOMP8-8,0.00453055,0.119784,0.909091
VCOMP8,VCOMP8-9,0.00517091,0.119079,0.909091
VCOMP8,VCOMP8-10,0.00440893,0.119917,0.909091
VCOMP9,VCOMP9-0,3.29747,-0.002,50
VCOMP9,VCOMP9-1,-0.000104204,0.002,50
VCOMP10,VCOMP10-0,4.99343,-0.0001,1000
VCOMP10,VCOMP10-1,-9.99898e-05,0.0001,1000
VCOMP11,VCOMP11-0,4.65521,-0.0001,1000
VCOMP11,VCOMP11-1,-8.58774e-05,0.0001,1000
VCOMP12,VCOMP12-0,11.9975,-0.0001,1000
VCOMP12,VCOMP12-1,-0.000105215,0.0001,1000
VCOMP14,VCOMP14-0,11.9952,-0.183824,0.544
VCOMP14,VCOMP14-1,11.9952,-0.183824,0.544
VCOMP14,VCOMP14-2,-0.000989978,0.183824,0.544
VCOMP14,VCOMP14-3,-0.000989978,0.183824,0.544
VCOMP15,VCOMP15-0,4.99343,-0.012,0
VCOMP15,VCOMP15-1,3.29343,0.012,0
VCOMP16,VCOMP16-0,4.65521,-0.6,0
VCOMP16,VCOMP16-1,2.95521,0.6,0
VCOMP17,VCOMP17-0,11.9975,-0.002,0
VCOMP17,VCOMP17-1,3.29751,0.002,0
VCOMP18,VCOMP18-0,11.9976,-0.369847,5e-07
VCOMP18,VCOMP18-1,11.9976,0.369847,5e-07
VCOMP19,VCOMP19-0,4.97741,-0.67181,5e-07
VCOMP19,VCOMP19-1,4.97741,0.67181,5e-07
VCOMP20,VCOMP20-0,4.97505,-0.67181,5e-07
VCOMP20,VCOMP20-1,4.67505,0.67181,5e-07
