Change Component Footprint: Designator=C33 Old Footprint=FP-CC0402-MFG New Footprint=CAPC1005X06N
Change Component Footprint: Designator=C34 Old Footprint=FP-CC0402-MFG New Footprint=CAPC1005X06N
Change Component Footprint: Designator=R33 Old Footprint=RESC1005X40X25ML05T05 New Footprint=RESC1005X04N
Change Component Footprint: Designator=R34 Old Footprint=RESC1005X40X25ML05T05 New Footprint=RESC1005X04N
Change Component Footprint: Designator=IC7 Old Footprint=SOIC127P600X175-8N New Footprint=SOP127P600X175-8N
Change Component Comment : Designator=IC7 Old Comment=TJF1051T_3 New Comment=CAN driver
Change Managed Component Library Link : Designator=C33 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=42C9FC1E-75A6-4768-9BD8-AF6909205E34 New ItemGUID= Old RevisionGUID=7EE23CB7-C0C8-4DCD-B292-ABB1D75F2141 New RevisionGUID=
Change Managed Component Library Link : Designator=C34 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=42C9FC1E-75A6-4768-9BD8-AF6909205E34 New ItemGUID= Old RevisionGUID=7EE23CB7-C0C8-4DCD-B292-ABB1D75F2141 New RevisionGUID=
Change Managed Component Library Link : Designator=R33 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=3947B93D-F868-41AF-A023-CB22F22F507E New ItemGUID= Old RevisionGUID=33D1A27D-DBDB-474E-84CB-FCEF1E737FA6 New RevisionGUID=
Change Managed Component Library Link : Designator=R34 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=3947B93D-F868-41AF-A023-CB22F22F507E New ItemGUID= Old RevisionGUID=33D1A27D-DBDB-474E-84CB-FCEF1E737FA6 New RevisionGUID=
Change component parameters: Designator = "IC7" ("IC7"); Footprint = "SOIC127P600X175-8N"; UniqueID = "\WVCAADAK" ("\WVCAADAK")
Change component parameters (AddParameter): Name = "Case/Package"; Value = "SO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Interface ICs"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/1767/tjf1051-1767282.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/1767/tjf1051-1767282.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/11212/tjf1051-11212991.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/11212/tjf1051-11212991.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Data Rate"; Value = "1Mbps"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "NXP Semiconductors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "TJF1051T/3,118"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Supply Voltage"; Value = "5.5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Supply Voltage"; Value = "4.5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Nominal Supply Current"; Value = "70mA"; VariantName = "[No Variations]"
