Removed Pin From Net: NetName=NetD4_1 Pin=D4-1
Removed Pin From Net: NetName=J1850+ Pin=D4-2
Removed Pin From Net: NetName=P0_1 Pin=Q7-1
Removed Pin From Net: NetName=GND Pin=Q7-2
Removed Pin From Net: NetName=NetQ5_1 Pin=Q7-3
Removed Member From Class: ClassName=OBD Member=D4
Removed Member From Class: ClassName=OBD Member=Q7
Change Component Footprint: Designator=Q6 Old Footprint=FP-318-08-IPC_B New Footprint=SOT95P240X135-3N
Change Component Footprint: Designator=Q5 Old Footprint=ONSC-SOT-23-3-318-08_V New Footprint=SOT95P237X111-3N
Change Component Footprint: Designator=R28 Old Footprint=RESC1005X40X20NL05T10 New Footprint=RESC1005X04N
Change Component Footprint: Designator=R29 Old Footprint=RESC1005X40X20NL05T10 New Footprint=RESC1005X04N
Change Component Footprint: Designator=R30 Old Footprint=RESC1005X40X20NL05T10 New Footprint=RESC1005X04N
Change Component Footprint: Designator=R31 Old Footprint=RESC1005X40X20NL05T10 New Footprint=RESC1005X04N
Change Component Footprint: Designator=R26 Old Footprint=RESC1005X40X25ML05T05 New Footprint=RESC1005X04N
Change Component Footprint: Designator=R27 Old Footprint=RESC1005X40X25ML05T05 New Footprint=RESC1005X04N
Change Component Comment : Designator=Q5 Old Comment=BSS84LT1G New Comment=Pmos
Change Component Comment : Designator=Q6 Old Comment=BSS138 New Comment=Nmos
Change Managed Component Library Link : Designator=Q5 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=4E1BDF6A-304D-4781-AD46-A8669B6777B0 New ItemGUID= Old RevisionGUID=04E43B46-C7CF-4336-B25F-A6220129794E New RevisionGUID=
Change Managed Component Library Link : Designator=Q6 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=797EBD05-02DD-4CD4-86B5-9E2EA5565E64 New ItemGUID= Old RevisionGUID=CF8CEDDC-BE98-469B-8E74-1C5B663A38CD New RevisionGUID=
Change Managed Component Library Link : Designator=R26 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=131859B3-3149-47F7-AD60-F29A6A00915B New ItemGUID= Old RevisionGUID=BA6CB50B-5D28-4238-BEAF-E440D744A568 New RevisionGUID=
Change Managed Component Library Link : Designator=R27 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=131859B3-3149-47F7-AD60-F29A6A00915B New ItemGUID= Old RevisionGUID=BA6CB50B-5D28-4238-BEAF-E440D744A568 New RevisionGUID=
Change Managed Component Library Link : Designator=R28 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=D433C335-FAF8-4AEA-BC1C-9168509A3A9F New ItemGUID= Old RevisionGUID=BAA2E08A-050A-4E54-9DE1-AA7A98BA9306 New RevisionGUID=
Change Managed Component Library Link : Designator=R29 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=D433C335-FAF8-4AEA-BC1C-9168509A3A9F New ItemGUID= Old RevisionGUID=BAA2E08A-050A-4E54-9DE1-AA7A98BA9306 New RevisionGUID=
Change Managed Component Library Link : Designator=R30 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=D433C335-FAF8-4AEA-BC1C-9168509A3A9F New ItemGUID= Old RevisionGUID=BAA2E08A-050A-4E54-9DE1-AA7A98BA9306 New RevisionGUID=
Change Managed Component Library Link : Designator=R31 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=D433C335-FAF8-4AEA-BC1C-9168509A3A9F New ItemGUID= Old RevisionGUID=BAA2E08A-050A-4E54-9DE1-AA7A98BA9306 New RevisionGUID=
Change component parameters: Designator = "Q6" ("Q6"); Footprint = "FP-318-08-IPC_B"; UniqueID = "\PTVUESFO" ("\PTVUESFO")
Change component parameters (AddParameter): Name = "Case/Package"; Value = "SOT-23"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "MOSFETs"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/1190/193736-1190130.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/1190/193736-1190130.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/931/bss138-931776.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/931/bss138-931776.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/1190/193736-1190131.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/1190/193736-1190131.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/1254/193736-1254983.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/1254/193736-1254983.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5Description"; Value = "https://datasheet.ciiva.com/22655/193736-22655240.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5URL"; Value = "https://datasheet.ciiva.com/22655/193736-22655240.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6Description"; Value = "https://datasheet.ciiva.com/26229/bss138-26229007.pdf?src-supplier=Avnet+Europe"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6URL"; Value = "https://datasheet.ciiva.com/26229/bss138-26229007.pdf?src-supplier=Avnet+Europe"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink7Description"; Value = "https://datasheet.ciiva.com/3304/bss138-3304424.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink7URL"; Value = "https://datasheet.ciiva.com/3304/bss138-3304424.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink8Description"; Value = "https://datasheet.ciiva.com/16834/bss138-16834843.pdf?src-supplier=Future+Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink8URL"; Value = "https://datasheet.ciiva.com/16834/bss138-16834843.pdf?src-supplier=Future+Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink9Description"; Value = "https://datasheet.ciiva.com/27050/784896-27050043.pdf?src-supplier=Jameco"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink9URL"; Value = "https://datasheet.ciiva.com/27050/784896-27050043.pdf?src-supplier=Jameco"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Tin,Matte"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Continuous Drain Current (ID)"; Value = "220mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "220mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drain to Source Breakdown Voltage"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drain to Source Resistance"; Value = "3.5R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drain to Source Voltage (Vdss)"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dual Supply Voltage"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Element Configuration"; Value = "Single"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Fall Time"; Value = "9ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gate to Source Voltage (Vgs)"; Value = "20V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.93mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Capacitance"; Value = "27pF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "2.92mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "ON Semiconductor / Fairchild"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "BSS138"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "150°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Power Dissipation"; Value = "360mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Nominal Vgs"; Value = "1.3V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Elements"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "On-State Resistance"; Value = "6R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Dissipation"; Value = "360mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=0,26000, 10=0,18000, 50=0,18000, 100=0,07300, 1000=0,05100, 10000=0,03300 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rds On Max"; Value = "3.5R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rise Time"; Value = "9ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "226455"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "512-BSS138"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Threshold Voltage"; Value = "1.3V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Turn-Off Delay Time"; Value = "20ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Turn-On Delay Time"; Value = "2.5ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Weight"; Value = "0.03g"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "1.3mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "R28" ("R28"); Footprint = "RESC1005X40X20NL05T10"; UniqueID = "\GJDMNIBR" ("\GJDMNIBR")
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "1005"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Chip SMD Resistors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/29928/aoa0000ce5-29928150.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/29928/aoa0000ce5-29928150.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
