Change Component Footprint: Designator=U2 Old Footprint=FP-SO8-MFG New Footprint=SOIC127P600X175-8N
Change Component Comment : Designator=U2 Old Comment=LM393D New Comment=Comparator
Change Component Designator: OldDesignator=U2 NewDesignator=IC10
Change Managed Component Library Link : Designator=IC10 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=40A5E740-9890-4E5E-92AE-D27C7424FF6B New ItemGUID= Old RevisionGUID=12A6AD3B-701A-4460-9109-D4C8B24F5952 New RevisionGUID=
Change component parameters: Designator = "U2" ("IC10"); Footprint = "FP-SO8-MFG"; UniqueID = "\PXGQDYII" ("\PXGQDYII")
Change component parameters (AddParameter): Name = "Case/Package"; Value = "SOIC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Amplifiers - Op Amps, Buffer, Instrumentation"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/15131/getdatasheetpartid-248499-15131100.pdf?src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/15131/getdatasheetpartid-248499-15131100.pdf?src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/2970/lm2903-2970514.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/2970/lm2903-2970514.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/1827/lm193-1827528.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/1827/lm193-1827528.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/1483/1633629-1483065.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/1483/1633629-1483065.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5Description"; Value = "https://datasheet.ciiva.com/16464/lm2903-16464313.pdf?src-supplier=Avnet+Asia"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5URL"; Value = "https://datasheet.ciiva.com/16464/lm2903-16464313.pdf?src-supplier=Avnet+Asia"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Gold"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dual Supply Voltage"; Value = "9V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.58mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Bias Current"; Value = "250nA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Offset Voltage (Vos)"; Value = "5mV"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "4.9mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "LM393D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Dual Supply Voltage"; Value = "18V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "70°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Supply Current"; Value = "500uA"; VariantName = "[No Variations]"
